Candidatures :,21,Entreprise à contacter :,6,,Important,Atol offre sur site vacances toussain,,,,,,,,,,,,,
Agistral,TRUE,29 sept.,,,,Suisse,Geneve,,Francais,,EMAIL,?,giuseppe@agistral.ch>,internet,non,"Bonjour,

Nous regrettons ne pouvoir donner une suite positive à votre sollicitation car nous ne recrutons pas en ce moment.

Je vous souhaite beaucoup de succès dans vos projets !

Bien à vous,

Giuseppe Barresi","Cher Monsieur Barresi,

Je vous remercie sincèrement pour votre retour rapide.

Je me permets de vous solliciter une dernière fois pour un conseil. Auriez-vous, par hasard, quelques entreprises ou agences dans la région dont l'approche serait similaire à la vôtre et qui pourraient potentiellement rechercher un stagiaire en développement logiciel pour la période d'avril à juin 2026 ?

Toute suggestion de votre part me serait d'une grande aide pour affiner mes recherches.

Je vous remercie d'avance pour votre aide et vous souhaite une excellente continuation.

Bien cordialement,","Bonjour,

Vous faites bien de demander mais, malheureusement, rien ne me vient à l'esprit.

Bien à vous,

Giuseppe Barresi",
Grosjean Data Solutions,TRUE,30 sept.,,application web,2,Suisse,Zurich,,Anglais,,EMAIL,?,info@grosjean-data-solutions.ch,internet,non,"Hello Elouan,

Thanks for your application and your interest in Grosjean Data Solutions.
At the moment, we don’t have any open internship positions.

I wish you the best of success with your studies and future opportunities!

Kind regards,

Joël Grosjean
Grosjean Data Solutions",,,
Office fédéral de l’informatique et de la télécommunication OFIT,TRUE,30 sept.,,developpement logiciel,1000,Suisse,Berne,,"Francais, Allemand",Tout,EMAIL,?,HRrecruiting@bit.admin.ch,internet,non,"En raison du volume important de demandes, le délai de traitement de votre demande peut être légèrement plus long. Nous vous remercions de votre compréhension et nous efforcerons de la traiter dans les meilleurs délais.","Nous vous remercions de votre intérêt pour un stage chez BIT !

Nous n'acceptons pas les candidatures spontanées.

Vous trouverez de plus amples informations sur le stage universitaire et toutes les violations récentes sur les liens suivants :
https://www.bit.admin.ch/de/studierende-hochschulabsolventen

Veuillez postuler directement à l'un des postes annoncés.",toutes les offres sont en allemand,
Edana,TRUE,30 sept.,,,23,Suisse,Geneve,,"Francais, Anglais",,EMAIL,?,job@edana.ch,internet,pas de rep,,,,
DV Bern,TRUE,1 oct.,,developpement logiciel,,Suisse,Berne,,"Francais, Allemand",,WEB,?,https://www.dvbern.ch/fr/carriere/recrutement,internet,non,"Bonjour, Elouan Nous vous remercions de l'intérêt que vous portez à ce poste et à notre entreprise. Nous confirmons par la présente que votre dossier a bien été transmis au service RH. Nous l'examinerons dans les prochains jours et vous répondrons dans les meilleurs délais. Nous vous demandons donc de bien vouloir patienter.","Nous vous remercions vivement pour votre candidature et l'intérêt que vous portez à notre entreprise.

Après avoir examiné attentivement toutes les candidatures reçues, nous avons sélectionné les candidats dont le profil correspond le mieux aux exigences du poste.

C'est pourquoi nous regrettons de ne pas pouvoir vous proposer votre candidature.

Nous vous remercions du temps que vous avez consacré à votre candidature. Nous supprimerons vos documents conformément à notre réglementation sur la protection des données.

Nous vous souhaitons beaucoup de succès dans votre recherche d'emploi et une belle carrière.",,
Sigmalis,TRUE,1oct.,,,43,Suisse,Geneve,,Francais,,EMAIL,?,job@sigmalis.ch,internet,pas de rep,,,,
Wecode,TRUE,10 oct.,,agence front mais ya  du back,gros,Suisse ,Geneve,,Francais,,WEB,?,jobs@wecode.swiss marche pas,internet,pas de rep,,,,
Geekworks,TRUE,10 oct.,,agence front et back,25,Suisse,Lausanne,"Av. de Montchoisi 5, 1006 Lausanne","Francais, Anglais",,EMAIL,?,contact@geekworkers.ch,internet,non,"Bonjour Elouan,

Nous vous remercions de l'intérêt que vous portez à Geekworkers et de votre candidature pour un stage en développement d'application. Nous avons examiné attentivement votre profil, mais nous ne pourrons malheureusement pas donner suite à votre demande pour le moment.

Nous vous souhaitons beaucoup de succès dans vos recherches de stage et pour la suite de votre parcours.

Cordialement,",,,
Talent business solution,TRUE,16 oct.,,"développement (ana? c#)
réponse vers 7 novembre",,France,,,Francais,,JREE,oui,,JREE,pas de rep,,,,
Neolam -> Lamster,TRUE,16 oct.,,logiciel de gestion RH tout centralisé,25,France,Besancon,,Francais,,EMAIL,oui,contact@lamster.fr,JREE,pas de rep,,,,
flexio,TRUE,17 oct.,,"développement en java de solution no code
entretien + test techinque java durant l'entretien",25,France,Besancon Temis,"18 Rue Alain Savary, 25000 Besançon",Francais,JAVA,EMAIL,oui,bruno@flexio.fr,JREE,en cours,Entretien vendredi 7 novembre 16h,,,
infomaniak JREE,TRUE,17 oct.,,developpement Kotlin equipe de 7 dev,,Suisse,Geneve,,Francais,Kotlin,EMAIL,oui,,JREE,en cours,"Bonjour Elouan, 

Merci encore pour votre candidature.
Mon collègue Fabian Devel vous a rencontré lors d'un récent forum, et nous serions ravis de savoir :

Si vous êtes toujours intéressé par un stage Android
Si un stage chez nous de 5 mois, jusqu’en août, vous conviendrait
Nous serions heureux d’échanger avec vous et de répondre à vos questions si besoin.
N’hésitez pas à nous indiquer vos disponibilités pour en discuter !

Bien cordialement,
Ana","Bonjour Ana,

Je vous remercie pour votre message et pour l’intérêt que vous portez à ma candidature.

Je suis bien évidemment toujours très motivé à l’idée de rejoindre votre équipe pour un stage Android de 5 mois. Cette durée me paraît par ailleurs idéale pour m’impliquer pleinement dans un projet et acquérir davantage d’expérience.

Je serais également ravi d'échanger avec vous et suis pour cela disponible pour un entretien téléphonique ou en visio dès demain après-midi (mercredi 22 octobre) à partir de 13h30, jeudi (23 octobre) de 8h à 11h, ainsi que vendredi (24 octobre) toute la journée ou durant la semaine prochaine.


Bien cordialement, Elouan","Développement de l'application TuneFlow (debut vendredi 31 octobre, à jeudi 30 octobre)

Avec réponse : 
Bonjour Elouan, 

Merci beaucoup d'avoir pris le temps de faire l’exercice.

Mes collègues vont prochainement analyser votre code et nous reviendrons ensuite vers vous.

D'avance un grand merci pour votre patience.

Bien cordialement,
Emilie",
Kuba,TRUE,17oct.,,voir offre feuille 2,,France,Besancon,Espace Valentin,Francais,C#,EMAIL,oui,audrey.saillet@kubapay.com,JREE,en cours,"Bonjour Elouan, 
Nous tenons à vous remercier pour votre mail et pour notre échange de jeudi dernier.
Seriez-vous disponible dans la semaine pour un entretien dans nos locaux ? 
Je vous laisse me faire part de vos disponibilités.
Bonne journée,",Entretien mardi 4 novembre à 15h,,
GE Vernova,TRUE,16 oct.,,"développement bas niveau, logiciel interne
seulement 2 personnes à Belfort dans le pole et 5 à Paris
réponse vers 7 novembre",2000,France,Belfort,,Francais,"C, C++",JREE,oui,,JREE,pas de rep,,,,
Atol CD,FALSE,,,annonces sur site à partir du 30 mars,250,France,Dijon(Gare 2min),,Francais,,WEB,oui,"s.favretto@atolcd.com
03 80 68 27 06
swann Favretto
Chargé RH",JREE,,,,,
CartoVision,FALSE,,,application carthographie,,Suisse,Monthey,,Francais,,,?,,internet,,,,,
Concepto,FALSE,,,application web / logiciel desktop / site web,6,Suisse,Lausanne,"Avenue de la Gare 10, CH - 1003 Lausanne",Francais,,,?,info@concepto.ch,internet,,,,,
Digital Solution,FALSE,,,,,Suisse,,,,,,?,,,,,,,
Alpsoft,FALSE,,,,,Suisse,,,,,,?,,,,,,,
Ipico Software development,FALSE,,,,,Suisse,,,,,,?,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
